,recipe_name,Ingredients,Ingredients_alpha
21,"["" Tajine dâr'ammi"", 'Tajine de mouton aux croquettes de viande hachèe (au fromage)', '']",-     mouton - oignon     -   smen -   pois chiches    -    poivre noir -    sel -   viande hachèe -   pain   -   fromage   -   oignon   -    persil -   poivre noir -   sel -   cannelle - blans  œuf -huile et beurre  ,"['blans  œuf', 'viande hachèe', 'pain', 'persil', 'poivre noir', 'sel', 'pois chiches', 'smen', 'fromage', 'huile et beurre', 'mouton', 'cannelle', 'oignon']"
22,"[' Tajine kebab maghdour aux œufs', '']",-      mouton -   beurre - œufs -   farine -    poivre rouge -   cumin -    piment   moulu -sel  ,"['beurre', 'farine', 'œufs', 'poivre rouge', 'sel', 'piment   moulu', 'mouton', 'cumin']"
23,"[' Tajine de mouton aux aubergines', '']",-     mouton -   huile -   oignon   - œufs   - œufs crus -   fromage   - aubergines -     persil -   safran -    de sel -    poivre noir -beurre  ,"['œufs crus', 'beurre', 'œufs', 'persil', 'de sel', 'huile', 'aubergines', 'fromage', 'poivre noir', 'mouton', 'safran', 'oignon']"
24,"[' Tajine de viande aux artichauts farcis (sauce rouge)', '']",-     mouton -   viande hachèe - douzaine  artichauts   - oignons   - œufs -  pois chiches   -   smen -   persil -   riz -   poivre rouge -    poivre noir -    cannelle -sel -citron  ,"['viande hachèe', 'cannelle', 'œufs', 'persil', 'poivre noir', 'poivre rouge', 'oignons', 'pois chiches', 'smen', 'sel', 'citron', 'douzaine  artichauts', 'mouton', 'riz']"
25,"[' Tajine de viande aux amondes et aux pois chiches', '']",-    'agneau -   pois chiches   -   amandes   -  oignons   -   persil -   beurre -   safran -    poivre noir -   cannelle -    sel -jus   citron  ,"['beurre', ""'agneau"", 'cannelle', 'jus   citron', 'persil', 'poivre noir', 'sel', 'oignons', 'pois chiches', 'safran', 'amandes']"
26,"[' Tajine de viande aux artichauts et petits pois', '']",-    'agneau -   artichauts -      pois   - oignon     -   huile -    ail -   safran -    gingembre -   poivre noir -    sel - citron confit -   olives confites  ,"['ail', ""'agneau"", 'citron confit', 'olives', 'poivre noir', 'huile', 'gingembre', 'sel', 'artichauts', 'safran', 'oignon', 'pois']"
27,"[' Tajine de viande aux carottes', '']",-    'agneau -   carottes - oignons     -   huile -    ail -   coriandre -   safran -    de gingembre -   poivre noir -    sel - citron confit -   olives vertes confites  ,"['carottes', 'ail', ""'agneau"", 'citron confit', 'olives', 'poivre noir', 'huile', 'oignons', 'sel', 'safran', 'coriandre', 'de gingembre']"
28,"[' Tajine de viande aux cardons', '']",-     mouton ou de veau  -  pieds   de cardons -   huile d'olive  de prèfèrence -   oignon   -    ail -   gingembre -    poivre noir -    sel -   safran - citrons confits -   olives confites  ,"['citrons confits', 'pieds   de cardons', 'ail', 'olives', 'poivre noir', 'sel', 'gingembre', ""huile d'olive  de prèfèrence"", 'mouton', 'safran', 'oignon']"
29,"[' Tajine de viande aux courgettes farcies', ""Dolma qar'a"", '']",-     mouton -   smen -   huile -     pois chiches    - oignons     -   tomates -    poivre rouge -    poivre noir -    cannelle -    sel -   viande hachèe -   courgettes -    riz -   oignon   -   persil - œuf -   poivre noir -   cannelle -     sel  ,"['tomates', 'viande hachèe', 'riz', 'persil', 'poivre noir', 'huile', 'oignons', 'pois chiches', 'smen', 'poivre rouge', 'sel', 'courgettes', 'œuf', 'mouton', 'cannelle', 'oignon']"
30,"[' Tajine de viande aux choux fleurs', '']",- chou-    environs -   huile - oignons     -   persil -   coriandre -   farine -jus   citron -   safran  -   gingembre -   poivre rouge -   poivre noir -   cumin -    sel  ,"['farine', 'jus   citron', 'environs', 'persil', 'poivre noir', 'huile', 'oignons', 'chou', 'gingembre', 'poivre rouge', 'sel', 'safran', 'coriandre', 'cumin']"
31,"['Tajine de viande aux coigns', '']",-     mouton -    coigns -   beurre -   huile - oignons     -   safran  -    gingembre -    poivre noir -    sel  ,"['beurre', 'coigns', 'poivre noir', 'huile', 'oignons', 'gingembre', 'sel', 'mouton', 'safran']"
32,"[' Tajine de viande aux èpinard', '']",-    'agneau -   èpinard -  huile -   oigno   -   pois chiches   -   persil -   concentrè de tomate -   tabel -   poivre rouge -    poivre noir -    sel  ,"['oigno', 'tabel', ""'agneau"", 'èpinard', 'concentrè de tomate', 'persil', 'poivre noir', 'huile', 'poivre rouge', 'pois chiches', 'sel']"
33,"[' Tajine de viande au fenouil (mqalli)', '']",-     mouton -    fenouil - oignon     -    ail -   huile -   farine -   safran -   gingembre -    sel - citrons confits -   olives confites  ,"['citrons confits', 'farine', 'ail', 'fenouil', 'olives', 'huile', 'gingembre', 'sel', 'mouton', 'safran', 'oignon']"
34,"[' Tajine de viande aux gombos', '']",-     veau -   concentrè de tomate -   huile - oignons     -   gombos -   tabel -   poivre rouge -sel  ,"['gombos', 'tabel', 'concentrè de tomate', 'veau', 'huile', 'oignons', 'poivre rouge', 'sel']"
35,"[' Tajine de viande aux fèves', '']",-     mouton -    fèves   -   huile - oignon     -    ail -   coriandre -   safran -    poivre noir -    gingembre -    sel - citron confit -   olives vertes confites  ,"['coriandre', 'ail', 'fèves', 'citron confit', 'olives', 'poivre noir', 'huile', 'gingembre', 'sel', 'mouton', 'safran', 'oignon']"
